experiment,sharpe,sortino,ic,dir_acc,ann_return,ann_vol,max_dd,total,time_s,description
C21_lgbm_maxw40,0.6067041487784451,0.9632309909069319,0.037829803166450675,0.48860009119927034,0.07682785792001606,0.1266315024789321,-0.20830125278005318,0.22061184436037862,5.27875828742981,LGBM macro λ=5 maxW=0.4
C18_ens_lgbm_xgb,0.6003929185709473,0.9659727439340953,0.021503737909623667,0.4848381212950296,0.08058968523386284,0.13422824077552759,-0.20662033381145506,0.23044268392349454,7.214104175567627,Ensemble LGBM+XGB macro λ=5 maxW=0.5
C27_rf_n200_d8,0.5881258660010079,0.9986200055802226,0.04582894489147982,0.48119015047879626,0.08004503066593206,0.13610187086346393,-0.1830713397083541,0.22763240548981534,22.6575448513031,RF n=200 depth=8 macro maxW=0.5
C17_ens_lgbm_ridge,0.5309105604942713,0.9112049954603136,0.11152752925344772,0.5055859553123575,0.07290083919478939,0.137312844421327,-0.231950443881471,0.20192451914867537,5.6001808643341064,Ensemble LGBM+Ridge macro λ=5 maxW=0.5
C20_ens_lgbm_ridge_shrink,0.5253749056172661,0.9020435988495958,0.11152752925344772,0.5055859553123575,0.07178176069443339,0.13662959522228527,-0.23114387486467292,0.19835671442957725,5.474508047103882,Ensemble LGBM+Ridge shrink=0.15 maxW=0.5
C7_lgbm_d3_n300,0.4173647845749849,0.6960361994610159,0.07438190383562225,0.4859781121751025,0.05775880076577835,0.13838925299985688,-0.27437820765389287,0.14985260535265743,3.0646629333496094,LGBM depth=3 n=300 macro maxW=0.5
C5_lgbm_maxw30_shrink20,0.384050077754279,0.5983671290065776,0.037829803166450675,0.48860009119927034,0.04621430559098339,0.12033406127976883,-0.2116563512592341,0.11955674337634603,5.2412779331207275,LGBM maxW=0.3 shrink=0.2 (tight)
C9_lgbm_bag60,0.293872008192727,0.47751195810961483,0.03698326103982502,0.4782261741906065,0.03842307216733341,0.13074764215765253,-0.19953909831578942,0.09043896807138996,5.069814205169678,LGBM subsample=0.6 macro maxW=0.5
C29_adaboost,0.2857222760060523,0.44675438359404485,-0.1314475895519938,0.4380984952120383,0.036667427313040006,0.1283324066488372,-0.27053328960205847,0.08589111449982512,27.207561016082764,AdaBoost macro maxW=0.5
C28_gbr_n200,0.268704892795877,0.42791157977002375,0.01771651602288612,0.4786821705426358,0.037723810239295094,0.1403912293772491,-0.25100715361489434,0.08411864977779526,72.68838930130005,GBR n=200 macro maxW=0.5
C10_lgbm_n150_lr10,0.2299431442963129,0.37709980497019235,0.04292106062388552,0.47412220702234387,0.031192325425655854,0.135652339282011,-0.26588852046418376,0.06583033828087759,2.3256521224975586,LGBM n=150 lr=0.1 macro maxW=0.5
C16_lgbm_technical,0.2281681056526891,0.3687772363410055,0.131959015786966,0.5288417692658459,0.03310182193092252,0.14507646384770867,-0.25344596938553443,0.06771024427205163,6.5870420932769775,LGBM technical indicators λ=5 maxW=0.5
C15_lgbm_momentum,0.2281681056526891,0.3687772363410055,0.131959015786966,0.5288417692658459,0.03310182193092252,0.14507646384770867,-0.25344596938553443,0.06771024427205163,7.2673118114471436,LGBM momentum+vol features λ=5 maxW=0.5
C13_lgbm_pca10,0.01969886508127203,0.02930934155698642,0.06473933695378126,0.5077519379844962,0.0028748643547412056,0.14594060839953552,-0.2618387949124711,-0.022184812227406314,4.831849098205566,LGBM all→PCA(10) λ=5 maxW=0.5
C2_elastic_macro_l1_80,0.007849549239747924,0.013324657211957988,0.18157996338707905,0.49464204286365704,0.0010315064902039874,0.131409646426667,-0.24008603173595733,-0.02172937037070366,1.3062961101531982,ElasticNet l1=0.8 macro λ=5 maxW=0.5
C19_ens_triple,0.0038277899264048077,0.006467136212153276,0.13252356525657877,0.49726402188782487,0.0005034751789451459,0.13153155962715726,-0.24128573226983407,-0.023273368250909754,6.070658206939697,Ensemble LGBM+Ridge+Elastic macro λ=5 maxW=0.5
C14_lgbm_featsel30,-0.003275462760888826,-0.005055227358713055,0.0661592689950793,0.5298677610579116,-0.0004574380423266311,0.13965600457704522,-0.2525633661375344,-0.029107308601438064,17.857573986053467,LGBM top-30 MI features λ=5 maxW=0.5
C1_elastic_macro,-0.03583019196244122,-0.060568329590073834,0.1588189427392989,0.4915640674874601,-0.004717387975880216,0.13165957862646085,-0.24329237624189748,-0.037982704252471966,1.2321968078613281,ElasticNet macro λ=5 maxW=0.5
C11_lgbm_macro_mom,-0.05096617979584897,-0.08172490627554518,0.011429258486864298,0.46112631098951223,-0.007170076622904602,0.14068303042576838,-0.26421447697570066,-0.048178911476948416,7.380064964294434,LGBM macro+momentum λ=5 maxW=0.5
C12_lgbm_pca20_fixed,-0.22096268407601174,-0.34189549259222995,0.10576856232804782,0.5023939808481531,-0.031171714349503523,0.14107230132478102,-0.2426849274377545,-0.1122757109675323,5.310671091079712,LGBM all→PCA(20) λ=5 maxW=0.5 [PCA bug fixed]
